h 	 hh 	 p 	 snp 	 ar 	 war 	 sigma 	 bf 	 like 	 
0.405	0.000	-0.624	1	0.444	0.282	2.067	-4.253	-1.356	
0.346	0.001	-0.334	2	0.444	0.282	1.285	-2.775	-3.260	
0.013	0.000	-0.311	4	0.444	0.282	0.143	-0.796	-3.490	
0.025	0.000	-0.161	3	0.443	0.282	0.186	-3.836	-4.259	
0.244	0.001	-0.308	3	0.443	0.281	0.819	-2.800	-3.450	
0.077	0.001	-0.290	4	0.443	0.281	0.360	-1.488	-3.443	
0.044	0.000	-0.197	4	0.443	0.282	0.267	-1.176	-3.378	
0.076	0.001	-0.268	2	0.443	0.281	0.505	-1.370	-3.718	
0.048	0.000	-0.178	2	0.443	0.281	0.400	-2.489	-4.771	
0.080	0.000	-0.215	3	0.443	0.281	0.427	-2.000	-3.810	
0.015	0.000	-0.247	4	0.443	0.281	0.157	-1.129	-3.377	
0.030	0.000	-0.242	4	0.444	0.281	0.219	-0.800	-3.373	
0.148	0.000	-0.289	2	0.444	0.280	0.737	-1.678	-3.549	
0.142	0.001	-0.162	3	0.443	0.280	0.587	-2.498	-4.245	
0.031	0.000	-0.389	1	0.444	0.280	0.450	-2.576	-2.620	
0.025	0.000	-0.395	3	0.444	0.280	0.232	-1.395	-3.365	
0.198	0.001	-0.595	2	0.444	0.281	0.877	-1.307	-2.542	
0.140	0.000	-0.575	2	0.444	0.281	0.711	-1.020	-2.561	
0.322	0.000	-0.643	1	0.444	0.281	1.727	-3.800	-1.289	
0.329	0.000	-0.583	1	0.444	0.281	1.755	-3.872	-1.514	
0.327	0.000	-0.747	2	0.444	0.281	1.232	-3.096	-2.509	
0.213	0.001	-0.543	2	0.444	0.281	0.920	-2.282	-2.601	
0.065	0.000	-0.539	2	0.444	0.281	0.467	-0.405	-2.606	
0.061	0.000	-0.706	2	0.444	0.280	0.453	-1.947	-2.502	
0.151	0.000	-0.594	3	0.444	0.280	0.492	-4.750	-3.617	
0.276	0.000	-0.611	2	0.444	0.281	1.089	-1.928	-2.530	
0.386	0.001	-0.246	3	0.444	0.281	1.146	-3.358	-3.646	
0.463	0.002	-0.292	3	0.444	0.282	1.343	-2.991	-3.489	
0.113	0.001	-0.487	3	0.444	0.282	0.516	-2.723	-3.425	
0.187	0.000	-0.612	3	0.444	0.282	0.691	-0.966	-3.659	
0.284	0.000	-0.657	1	0.444	0.282	1.581	-3.751	-1.244	
0.004	0.000	-0.682	2	0.444	0.282	0.108	-1.344	-2.503	
0.097	0.001	-0.326	2	0.444	0.282	0.576	-0.667	-3.305	
0.141	0.001	-0.395	2	0.444	0.282	0.720	-1.499	-2.971	
0.517	0.001	-0.381	2	0.444	0.282	1.826	-0.757	-3.029	
0.135	0.001	-0.303	3	0.444	0.281	0.570	0.172	-3.461	
0.086	0.001	-0.126	4	0.444	0.282	0.326	-3.216	-3.627	
0.025	0.001	-0.219	2	0.444	0.282	0.283	-0.076	-4.204	
0.001	0.000	-0.305	2	0.444	0.282	0.067	0.923	-3.436	
0.102	0.000	-0.376	3	0.444	0.282	0.489	-1.071	-3.370	
